item,weight
涉及,61
民营企业,7
诈骗,120
活动,868
也,1188
日益,11
增多,8
数额,7
增大,5
而且,67
这,496
类,42
存在,102
认罪态度,1
较差,2
手段,40
多样化,9
特征,17
导致,65
此类,16
追赃,3
困难,102
很难,17
挽回,9
被害人,14
损失,33
.....,17
2014,85
苏州市,18
检察院,58
收到,22
审查起诉,15
朱某,10
居某,2
邹某,1
一案,10
由于,138
该案,38
涉案,72
金额,57
高,171
达,107
人民币,21
1.8996,1
亿元,184
三名,19
交代,20
8000,17
余万元,38
去向,3
2015,101
法院,158
一审,7
以犯,1
诈骗罪,2
判决,52
无期徒刑,1
邹平,1
华,5
有期徒刑,17
十三年,4
阶段,41
未能,11
尚未,12
那时,13
多家,29
被害,7
损失惨重,2
部分,65
找,92
说明,26
情况,378
如果,145
不能,157
挽回损失,3
的话,33
他们,598
会,428
面临,33
倒闭,2
风险,78
到时候,3
大量,69
从业人员,8
将,1050
失业,4
稳定,119
受到,72
影响,136
上诉,5
提审,3
各,205
其,288
阐明,1
利弊,1
告诫,7
只有,80
抛弃,6
幻想,2
积极,243
退赃,3
才能,61
争取,35
减刑,20
机会,43
庭审,33
继续,121
展开攻势,1
主动,97
并,741
指出,60
如若,3
获得,167
谅解,4
则,52
可以,312
建议,80
法庭,37
酌情,1
从轻,2
处罚,40
这些,220
努力,167
终于,76
有,1278
效果,51
最后,118
发生,246
转变,49
港币,3
顺利,58
能够,115
已经,267
基本,137
江苏省,66
高级人民法院,3
作出,52
二审,8
裁判,14
改判,2
轻刑,1
年初,24
发还,3
中央,96
反复强调,1
要,909
毫不动摇,1
地,598
鼓励,76
支持,173
引导,96
非公有制,3
发展,1012
我们,921
检察机关,46
是,2474
贯彻,67
党中央,30
经济,285
平等,7
保护,110
一方面,33
严重危害,4
严厉,6
另一方面,22
替,4
7000,9
多万元,17
那些,49
孩子,302
没日没夜,4
干活,7
几乎,51
没有,408
休息日,4
年底,45
给,438
看到,216
有人,64
想,138
走,198
老板,25
把,551
他,1487
身份证,15
银行卡,6
手机,127
没收,10
甚至,52
使用暴力,1
......,37
童工,4
问题,444
社会各界,25
关注,160
媒体,95
报道,54
过多起,1
非法,81
使用,131
王某,50
通过,656
赵某,18
招录,3
至,178
二人,24
共同,132
经营,113
服装,17
加工,35
作坊,2
采用,45
扣发,1
由,274
代为,4
暂扣,7
方式,218
限制,12
人身自由,2
强迫,5
邵某,2
姚某,3
从事,53
劳动,53
时间,310
常达,1
每天,127
14,78
-,486
16,104
小时,144
直至,11
4,330
常熟市,17
提起公诉,8
5,623
月份,48
一审判决,2
生效,9
被判,5
个,667
处罚金,7
千元,3
(,356
考虑,37
到,1140
共同犯罪,1
作用,135
家中,69
子女,33
年幼,3
临时,25
亲戚,18
托管,1
以及,199
岁末,2
数十名,1
工人工资,2
未结,1
适时,7
对王,2
变更,11
强制措施,15
取保候审,6
后王,1
得以,16
判,2
缓刑,1
),367
对于,126
这起,13
严重,121
侵害,31
未成年人,64
合法权益,24
充分发挥,69
未检,4
职能,25
第一,172
提前,48
介入,8
落实,245
询问,52
特别,143
程序,32
规定,66
严把,2
证据,50
关和,1
事实,22
关,13
依法,135
追诉,1
遗漏罪行,1
从,639
认定,22
名,214
追加,5
得到,151
履行,57
职责,40
劳动部门,1
发出,33
检察,27
市委,85
政法委,21
作,59
汇报,35
常熟,31
成立,141
打击,147
用工,11
清理,66
整顿,10
劳务市场,1
专项,162
行动,292
领导小组,20
组织,412
人员,352
全市,197
1797,1
小作坊,4
163,15
门店,9
逐一,20
排查,78
出,191
相关,293
不满,11
十六周岁,1
政府,192
垫付,8
专人,19
妥善,11
护送,4
回,36
原籍,1
靖远县,1
城区,71
一,327
违法,124
强制,13
拆除,43
27,53
县委,43
县政府,17
责成,1
部门,277
组成,47
联合,153
组,86
位于,75
四道,1
南巷,1
1,377
处,80
当事人,100
建设,1010
过程,144
擅自改变,1
建设工程,9
规划,100
许可,11
占用,11
绿地,5
消防,68
车场,1
建成,130
车库,2
一座,32
平房,9
面积,54
共,180
290,3
平方米,27
违反,7
《,529
中华人民共和国,16
城乡规划,5
法,26
》,529
甘肃省,12
条例,12
依据,19
第六十四,1
条及,2
第四十三条,1
县,163
规划局,1
于,268
2018,348
送达,17
限期,11
决定书,6
又,397
催告,1
18,123
日前,38
自行,15
但,388
置之不理,2
期限内,3
报经,1
批准,6
动用,2
机械,29
2,332
台,40
清运,4
该处,2
此次,155
拆违,3
彰显,35
坚定,45
意志,11
坚强,34
决心,30
有效,182
震慑,14
各类,134
违建,25
小孩,37
手,34
卡车,5
门,21
九江,58
特勤,5
消防官兵,5
火速,6
救援,90
29,44
19,95
时,519
37,12
分,130
中队,53
报警,85
九江市,12
天禧,1
城市,299
广场,81
地下,40
停车场,13
一名,207
卡,40
小车,29
里,268
十分,68
紧急,40
立即,135
辆,30
抢险,30
救援车,1
水罐,1
消防车,9
赶赴现场,14
处置,78
裁剪,2
图片,57
47,9
到达,41
现场,387
经过,207
得知,57
车主,11
车门,26
没,112
注意,64
所以,85
门缝,4
指挥员,3
了解,275
下达,16
命令,17
在场,13
班长,9
一号,16
员,29
拿,43
好,534
撬棍,1
其他,92
破,15
拆,14
工具,36
二号,9
警戒,3
三号,3
安抚,15
家人,101
四号,2
驾驶员,57
车上,21
随时,20
待命,3
分钟,46
手救,1
出来,65
事后,31
经向,3
自己,587
当时,115
并不知道,1
【,150
初,11
心,59
】,151
杨汉军,2
:,415
为民,33
孺子牛,1
干事,18
勇如狮,1
中共中央组织部,1
决定,112
追授,6
湖北省,26
武汉市委,1
常委,18
组织部长,2
同志,115
全国,357
优秀,111
干部,179
称号,41
这位,52
敢,14
闯敢,2
拼,8
组工,1
因,159
突发,34
心脏病,9
倒,16
工作岗位,20
上,1045
年仅,6
55,7
岁,234
近,128
生涯,10
杨汉军常,1
挂,13
嘴边,2
一句,29
话,38
做,415
大,719
事,113
精,3
官,8
淡,1
一生,16
真实写照,4
仅用,11
高安,7
交警,150
破获,59
交通肇事,5
逃逸案,2
点击,42
上方,9
直通车,5
　,2090
交警大队,47
事故,70
便,80
一起,231
凌晨,37
点,127
32,26
分许,11
处理,127
高胡,1
公路,105
八景,2
面条,2
厂处,1
交通事故,65
行人,42
死亡,24
肇事,7
接警,18
赶往,15
事故现场,9
展开,44
勘察,11
并未,11
线索,92
当即,17
兵,17
分两路,7
一边,58
周边,67
摸排,20
另一边,2
赶回,9
技术支持,6
嫌疑,8
初步,34
确定,59
一辆,58
红色,42
蒙牌,1
半挂车,5
该车,14
行驶,41
轨迹,11
追查,5
最终,97
锁定,14
赣,1
c3a2xx,1
获取,30
以上,162
信息,271
当天,72
中午,37
与,1057
所属,7
公司,493
驾驶,117
人付,1
取得联系,6
据,154
23,151
左右,81
重型,6
半挂,4
牵引车,3
去,331
樟树市,1
装,12
沙子,5
途经,15
事发,23
路段,45
视野,11
不佳,2
应对,20
措施不力,1
车头,8
碰撞,8
撞人,1
后付,1
非常,141
恐慌,3
加速,17
逃离现场,2
指认,3
目前,307
因涉嫌,7
交通,213
肇事罪,2
刑事拘留,33
正在,187
畅行,2
服务,817
人民,275
键,3
→,11
衡南,1
盗窃,65
通信,59
电缆,13
缴获,32
被盗,29
400,35
余米,3
新浪网,1
17,121
群众,663
鸡笼,8
村有,5
电信,36
细致,27
勘查,9
走访,72
分析,76
作案嫌疑,4
应该,60
具有,68
布线,1
经验,90
随即,31
秘密,9
布控,4
15,136
下午,129
时许,61
支局,2
反馈,22
一条,79
镇团,3
集村,3
泉口村,2
电话,136
中断,7
获悉,30
快速,68
出击,8
赶赴,5
两地,23
沿线,25
镇泉口,2
村,384
抓获,175
电缆线,3
伍,3
某军,14
男,135
45,26
戴,21
才,157
51,8
何,26
某华,3
53,8
何某,3
刘,102
某良,1
48,13
伍某,1
该,281
六,14
人均,32
长沙市,6
宁乡县,1
经查,23
6,275
施工队,5
利用,185
衡南县,1
移动,124
布设,2
光纤,4
线,37
盗割,1
八档,1
藏匿在,2
一处,25
偏僻,6
山坡,6
来得及,3
销赃,1
犯罪事实,21
供认不讳,9
杭州,17
摧毁,14
涉黑,14
团伙,86
成员,100
33,11
每到,6
夏季,16
天气炎热,2
时候,140
都,1014
犯罪案件,14
高发,9
因此,44
来临,11
之前,59
我国,56
大部分,16
打黑,2
除暴,1
最近,37
大井房,1
一个,754
犯罪团伙,19
并且,37
一批,117
违禁品,2
记者,370
22,111
浙江省,24
公安厅,13
浙江,33
公安,124
杭州市,5
滨江区,1
以虞,2
关荣,2
为首,11
重大,115
涉恶,13
集中统一,3
收网,10
虞关荣,1
在内,12
扣押,12
资金,140
物品,41
财产,38
根据,134
通报,62
来源于,9
月底,30
信访,17
举报线索,3
梳理,19
省市,22
三级,27
调查组,1
多月,11
黑恶势力,7
实施,273
聚众斗殴,3
寻衅滋事,5
故意伤害,6
串通,1
投标,3
暴力,8
非法手段,1
强揽,3
工程,218
打压,1
竞争对手,2
控制,51
垄断,7
滨江,3
区域,116
土石方,1
市政,10
绿化,28
攫取,2
巨额,2
利益,34
女居士,2
当街,3
怒斥,2
假,32
和尚,9
!,237
太赞,1
…,387
注,7
↓,42
?,1110
佛,1
结缘,4
电影,58
进群,1
功德,2
或许,12
很多,201
经历,51
过,205
这样,199
大街,11
经常,69
遇到,78
穿着,9
僧衣,1
剃着,1
光头,3
着,614
所谓,21
护身符,2
卡片,4
让,793
你,372
没错,1
！,643
就是,351
本,51
以为,26
行遍,1
中国,650
街头,15
没想到,29
这年头,2
骗,22
国外,24
一段,13
视频,157
网络,293
曝光,28
网友,85
们,554
纷纷表示,16
真的,40
丢人,1
丢,13
佛法,1
般若,1
佛光,3
普照,1
共沐佛,1
恩,1
●,43
如,77
模样,7
拦下,2
预测,6
凶吉,1
推销,2
骗子,7
；,644
佛教界,1
真正,82
出家,1
僧人,1
可能,126
街上,13
送,85
平安,146
符,2
寺院,3
请,127
正规,7
寺庙,1
当然,15
佛教徒,1
完全,50
翁,2
居士,1
一样,116
问,33
一些,112
佛教,3
术语,2
背诵,1
大悲咒,1
咒语,1
一试,2
知,7
真假,1
禅语,2
妙乐,1
开悟,1
美妙,1
梵乐,1
虽然,105
讲善,1
善心,11
不可,19
滥发,1
屡次,1
抹黑,1
坚决,67
忍,1
再次,74
见到,33
一定,138
制止,10
同时,376
奉劝,1
想着,12
天上掉,1
馅饼,1
因果,1
自有,3
报,42
好自为之,1
转发给,1
身边,83
愿,10
大家,241
不要,71
再,213
上当受骗,4
严厉打击,21
濮阳,11
法官,93
出门,23
一网打尽,4
老赖,9
资产,33
近日,93
清丰县,3
人民法院,42
被执行人,64
孙,37
某波,15
支,19
股票,5
售卖,7
变现,6
20,228
用以,4
偿还,17
借款,24
债务,8
据悉,42
被告,26
田,5
70,53
出具,14
条,67
收款,2
某伟,8
某龙,7
张某,28
占,65
三人,13
作为,343
保证,60
予以,29
书面,9
承诺,36
自愿,8
承担,49
连带责任,2
到期,4
陆续,28
还款,6
2013,44
前,180
利息,10
田某,2
债权,6
转让,6
陈某,30
受让人,1
签订,37
个人,98
协议,62
全部,106
行使,2
按,73
主张,6
原告,24
6000,8
元后,1
催要,4
无果,6
形成,183
纠纷,68
本金,2
394000,1
元及,2
连带,1
清偿,1
责任,220
执行局,21
干警,23
孙某,23
地址,32
范县,2
孙庄村,1
实地调查,2
担保人,3
系,27
该村,24
村民,294
常年,24
在家,32
具体,69
下落不明,3
再三,3
表示,197
无力,7
欠款,3
虽,19
已,347
途径,19
案款,4
尚有,1
查控,8
名下,6
只,89
市值,2
冻结,11
沟通,76
协调,93
证券公司,2
协助,49
持有,7
扣划,2
执行款,1
专用,8
账户,23
张峰利,1
通讯员,63
范海彦,1
公众,82
平台,334
推荐,38
政法,32
id,6
pyzfzx,1
法制建设,1
提供,357
更加,133
专业,171
及时,203
广大,85
更,518
多,558
更好,88
法制,26
新闻,124
资讯,19
开通,48
便捷,36
互动,50
投诉,34
渠道,57
自燃,4
西固,7
出手,10
相助,6
三,67
辅警,32
谢伟,3
巡逻,39
西路,7
西部,19
附近,74
由西向东,2
黑色,9
小轿车,7
着火,9
上前,15
查看,62
手持,8
电台,9
呼叫,4
大队,149
指挥,54
中心,333
疏散,19
周围,30
火势,18
较大,25
油管,1
漏油,1
不停,25
明火,9
喷溅,1
携带,9
灭火器,9
太小,1
无法控制,2
见状,5
立刻,21
路边,31
卫生所,1
借来,1
大罐,1
干粉,1
闻讯赶来,2
二,34
李彦民,1
协警,4
徐鑫,1
李凯,2
火,8
扑灭,20
推到,3
正常,45
通行,32
地方,129
随后,93
刚,59
修理,3
上路,6
感觉,41
异常,20
停车,38
结果,56
起火,14
幸好,2
有西固,1
执勤,32
推至,1
告知,19
天气,36
渐热,1
线路,89
橡胶,1
管道,14
零部件,5
检修,12
保养,4
或,178
更换,17
排除,14
行车,24
安全隐患,24
成昆铁路,6
抢通,3
运输,57
秩序,47
恢复正常,7
成都,68
商报,14
客户端,22
铁路,89
局,64
集团公司,11
今,5
21,91
56,13
奋力,19
鏖战,5
受,36
暴雨,17
一度,21
九里,3
站,160
轸,3
溪,4
间,53
水害,7
该区,15
段,53
运行,80
客运,22
货物,26
列车,24
09,4
乐山,4
沙湾,9
开往,4
燕岗站,1
46602,1
次列车,2
驶出,1
昨夜,2
开始,215
四川,64
中东部,1
突降,4
大到暴雨,1
其中,187
燕岗,1
平均,34
降雨量,2
达到,126
228,2
毫米,8
境内,14
今日,33
包括,64
边坡,3
溜坍,1
水淹,3
道,85
床,18
路堤,1
损毁,3
灾害,31
集团,224
有限公司,149
抢修工作,3
趟,10
旅客列车,1
采取,81
应急,113
措施,94
客车,17
停运,5
折返,2
列车运行,16
调整,43
西昌,8
车务段,2
峨眉,3
协同,42
政府部门,10
接驳,6
转运,9
旅客,55
800,21
余人,45
方便,77
退,6
改签,1
攀枝花,1
火车站,15
增开,2
专退,1
窗口,36
办理,145
全额,4
退票,1
6300,1
余张,8
随着,64
成昆线,1
177,1
公里,94
300,41
米处,3
滑坡,5
控制性,1
抢修,59
完成,211
标志,31
结束,50
工务段,1
供电,112
中共,24
投入,79
600,20
余人次,8
重型机械,1
台次,3
清挖,1
坍体,1
泥石,1
110,40
余方,2
路基,2
减载,1
土石,1
2400,3
安放,3
加固,13
砂石,9
2800,4
余袋,1
余处,5
各趟,1
次,85
地点,32
重点,247
监控,60
确保,198
吴正琪,1
尹沁彤,1
女,194
法医,22
900,4
多具,3
尸体,25
开口,7
长年,8
打交道,8
胆子,1
得,142
？,253
而,377
生活,424
赵,119
晶晶,74
却,165
连,38
蟑螂,4
老鼠,7
害怕,6
走上,27
岗位,102
她,648
仿佛,16
注入,15
一股,9
无穷无尽,1
力量,102
找出,5
真相,8
无罪,2
清白,1
有罪,2
惩罚,3
股,21
源自,1
哪里,40
现任,10
贵州省,30
关岭,5
县公安局,9
刑侦,16
技术,290
指导员,7
说,725
一份,66
挚爱,3
大名,1
一次,160
榜上有名,4
成为,264
脱贫,378
攻坚,204
群英谱,2
一员,9
责任心,9
战胜,15
恐惧,4
胆量,1
炼成,1
安顺市,4
县人,1
2006,8
贵阳,30
医学院,1
临床,5
医学系,1
毕业,38
抱,27
好奇,12
崇敬,5
之心,9
参加,192
公安系统,8
招考,1
一路,68
过关斩将,3
优异,11
成绩,58
考,3
进关,1
岭,11
当上,2
其他同学,1
第一天,16
不是,113
领导,233
讲话,46
参观,41
医院,182
环境,319
至今,34
记忆犹新,4
那年,11
夏天,16
兴致,2
匆匆,8
地到,1
上级领导,2
简单,43
介绍,155
带,141
来到,145
尸检,4
室,26
自杀,11
妇女,38
检验,57
所幸,4
学校,259
没少,2
接触,29
戴上,4
手套,6
几个,45
今天,94
怎么样,14
新,793
适应期,2
吧,49
跟着,20
前辈,2
老师,182
好好学习,2
那天,19
下班,15
回到,55
妈妈,66
关切,3
地问,3
说完,4
笑,11
什么,135
啊,55
我,961
单独,4
一具,5
女尸,3
看着,26
女儿,108
样子,21
稍,5
有些,39
放心,26
毕竟,6
模拟,14
还是,155
区别,6
担心,31
受不了,1
现在,210
看来,35
很棒,1
其实,62
上班,46
第二天,12
那么,45
轻松,21
门口,26
拽,4
警车,15
直奔,6
山里,16
凶案,2
一男一女,1
两具,1
血肉模糊,1
着实,1
吓,4
不轻,5
手脚,3
发凉,1
早晨,8
东西,36
直,6
往,15
上涌,1
赶紧,21
跑,66
不远处,2
靠着,4
一棵树,5
喘气,1
不行,12
不敢,19
看,164
当,140
打气,1
平复,2
心情,14
好几层,1
口罩,3
慢慢,27
靠近,13
老,145
这次,72
感触,4
很深,2
以往,16
大多,18
室内,12
抛露,1
野外,4
血腥,1
恐怖,2
程度,48
远,25
女孩子,1
能,353
想象,14
得出,6
不仅,153
本身,17
详细,60
人体,3
生物,13
检材,2
提取,8
还会,18
观察,28
自然环境,5
遗落,5
物证,4
细微,5
物件,2
比如,14
香烟,1
壳,1
塑料袋,7
仅,58
参与,185
60,60
溺水,2
车祸,37
烧死,1
等等,15
杀害,2
渐渐,11
适应,23
面对,85
每,156
无论,30
多脏,1
臭,3
自如,2
忙,46
起来,109
旁边,19
方便面,1
算,9
几天,27
频率,3
舒服,13
吗,58
那,118
段时间,6
有时,18
同学,97
聚聚,3
学医,1
进入,164
病人,48
很少,19
如今,102
功力,1
很,278
敬佩,1
每次,43
抓紧,7
每一分,1
每一秒,1
没什么,7
仔细,22
早日,24
破案,20
还原,8
死者,2
讨回公道,1
爱心,139
温暖,70
受害人,42
用心,20
罪恶,2
绳之以法,2
经人介绍,2
认识,64
丈夫,75
找个,4
妻子,72
需要,224
勇气,17
为人忠厚,1
包容,3
还有,142
钦佩,2
2009,19
订婚,1
日子,49
穿,29
漂亮,8
礼服,3
突然,62
局里,3
郊外,3
水库,9
无名,2
脱,6
塞,5
离去,9
听到,28
边,31
丢下,3
对不起,5
回来,35
很快,38
这一去,2
直到,37
晚上,65
点多,14
回家,65
这个,333
新娘,1
缺席,2
订婚宴,1
照常,2
举行,56
一人举,1
酒杯,1
招呼,3
亲朋好友,3
难为情,1
你们,90
知道,141
好好,9
赔罪,1
特殊,44
理解,57
公公,10
婆婆,41
通情达理,1
只是,63
这么,75
冷,4
天,62
媳妇,5
换下,1
只套,1
件,79
棉袄,3
出去,31
山林,8
案发现场,9
不会,45
受冻,1
结婚,15
一天,89
夫妻俩,9
饭后,1
散步,4
比较,56
胡同,13
一声,15
尖叫,2
转身,6
只见,12
缩,1
墙壁,1
恨不得,1
爬,23
墙,10
这是,138
这种,72
不少,64
呢,70
话音刚落,1
哪儿,11
你别,1
之后,83
英雄,70
无畏,3
居然,9
动物,15
爸妈,3
别说,1
神圣,6
可,229
掉队,3
只要,53
陪,25
父母,69
或者,53
吃饭,18
购物,10
表表,1
孝心,3
作息时间,1
不分,1
日夜,1
全身心,9
商量,14
暂时,16
一对,6
双胞胎,3
因为,190
两个,149
双方,72
照顾,80
时常,8
奔波,9
两边,5
家里,99
陪伴,19
清早,1
尽量,12
挤时间,1
早饭,2
离开,55
总是,51
千般,1
不舍,3
亲,7
一下,53
再亲,1
捧,5
小脸蛋,1
怎么,59
不够,23
傍晚,10
断桥,2
镇纳,1
建村,1
入室,6
抢劫案,2
袁,19
女士,100
小罗,2
血泊,1
昏迷不醒,3
生命垂危,1
高度,37
怀疑,11
性,29
足足,4
深夜,10
母女,4
手术,25
处于,23
昏迷,6
状态,29
试纸,2
检测,30
来,414
证实,4
判断,23
正,103
生理期,1
一般,40
这时,12
测试,34
不妥,3
妇科医生,1
赞成,2
软磨硬泡,2
医生,86
只好,9
答应,6
拿到,18
数据,160
连夜,11
办公室,64
遭性,1
侵,2
体内,2
男性,4
dna,19
谁,48
对比,8
库中,1
茫茫人海,1
谈何容易,1
转眼,1
过去,66
进展,26
一有,6
坚持不懈,8
比,127
觉得,74
身受,2
重伤,5
母女俩,2
2010,14
王姓,1
样本,3
本案,14
打工,37
找到,92
父亲,70
血样,5
鉴定,15
确实,20
抢劫,5
强奸,10
故意,10
杀人,3
恶性,6
真凶,2
义乌市,1
义乌,2
王,65
中级,6
判处死刑,3
判刑,6
特意,7
消息,54
告诉,100
她们,49
受伤,60
心灵,21
难报,1
爱,77
真情,20
山,38
敬畏,4
生命,101
警力,42
不足,18
女警,2
更是,51
少之又少,3
大案,8
肩负起,3
痕迹,12
受害者,9
追捕,5
自,100
以来,178
先后,144
福建,36
云南,49
押送,2
抓捕,61
女性,13
胆结石,1
发作,2
痛得,2
站不起来,1
爸爸,15
刚好,9
出远门,1
打电话,35
为难,2
分心,3
硬撑,1
输,4
大半天,4
液,2
有所,19
好转,11
这天,7
独自,6
看病,11
再也,18
忍不住,6
流下,4
愧疚,6
泪水,9
县国,1
道旁,1
水沟,2
一眼,6
容易,42
误认为,2
认为,94
损伤,7
人为,14
所致,2
侦破,36
关键,42
赶到,64
搜查,13
任何,55
亲密,8
查找,26
一只,14
凉鞋,2
缝隙,4
针尖,1
大小,10
可疑,19
血迹,2
小心翼翼,7
鞋,14
激动,39
地说,43
有戏,1
果然,5
半夜,6
相符,3
铁,5
面前,18
抛至,1
伪装成,1
活人,1
假话,1
死,9
要是,9
‘,128
’,130
肯定,40
真话,2
何其,1
艰难,13
暴热,1
同事,98
驱车,9
两,27
崎岖,4
山路,17
步行,8
腐烂,4
远远,5
闻到,2
浓烈,2
味,5
尸身,1
蝇蛆,1
密布,1
看热闹,1
熏得,1
开,46
坚持,279
几次,14
差点,8
熏,2
屏住,2
呼吸,14
每隔,6
十多分钟,2
就要,42
数米,2
深呼吸,1
将近,6
价值,49
除了,79
命案,3
日常,62
民政部门,3
流浪,6
繁琐,3
没能,5
帮上,3
全力以赴,15
用,343
感受,108
流浪者,1
走失,5
着急,6
身上,42
团聚,14
相信,47
长大,12
懂事,1
能以,1
所,174
为荣,1
深,18
感悟,11
职业,56
操守,3
尊重,28
科学,85
公正,22
伸张正义,1
守护,23
生命财产,10
这些年来,2
无悔,7
付出,45
荣立,11
一等功,3
三等功,13
两次,25
荣获,44
第三届,11
最,279
喜爱,16
人民警察,11
五一,39
奖章,6
共产党员,21
全国公安,2
百佳,2
刑警,5
最大,120
收获,32
活蹦乱跳,1
珍惜,14
每个,92
冤死,1
说话,15
最牛,4
死刑犯,6
枪毙,2
发明专利,7
免,3
死刑,15
高薪,6
聘请,14
律,1
草堂,1
lvcaotang66,1
最高人民法院,7
关于,129
假释,3
应用,106
法律,125
罪犯,3
刑罚,4
独立,16
国家,301
主管部门,16
确认,40
应当,16
立功,5
表现,33
称为,16
三次,10
越狱,2
行刑,2
前一天,8
一项,35
实现,393
人生,59
巅峰,5
电机,10
无刷电机,8
刷,12
之分,4
相比,24
损耗,3
寿命,2
更长,3
意外,28
发明者,3
竟然,18
后来,52
这项,13
专利,15
免除,4
牛,10
名叫,19
李红涛,18
1966,4
生于,8
湖北,64
从小,15
学习成绩,2
1984,3
考入,7
浙江大学,2
电子系,2
跟,81
女友,10
结了婚,2
但是,144
两年,32
婚外情,2
家庭,192
破裂,9
这件,12
深感,5
自责,4
心理,38
产生,39
扭曲,2
\,2109
n,1967
朋友,55
邀请,49
创业,273
缺乏,11
伪造,17
银行,67
印鉴,5
骗取,6
然而,55
被捕,5
打开,47
手铐,5
然后,52
若无其事,2
走出,30
监狱,50
回去,14
销毁,6
所有,122
接着,11
逃到,2
当地,111
一家,55
酒店,25
前面,13
看中,3
奥迪车,2
自制,6
一把,20
钥匙,6
光明正大,3
车,98
开到,4
南宁,21
偷,4
开回,2
昆明,26
逃亡,6
太,44
没意思,2
于是,67
露出破绽,4
捉,2
获,44
罪行,2
坐,37
牢后,2
无聊,7
收买,2
囚犯,2
挖,8
地道,7
趁,5
看守,5
逃,14
柳州,8
看上,3
标致,2
这车,2
坏,6
修理工,3
修车,2
厂,9
修好,8
师傅,37
声,12
谢谢,26
接着就是,2
一脚,2
油门,3
扬长而去,2
长期,66
感到,39
此时,38
大彻大悟,2
做出,48
有点,18
意义,56
提出,118
研究,117
想法,39
听,59
讲述,42
第一次,30
实验,51
设备简陋,2
宣告,2
失败,10
通知,44
下来,56
买,66
最好,34
器材,10
请来,5
专家,53
七天,2
劝,20
放弃,50
奇迹,12
转动,3
所有人,15
祝贺,6
监狱长,3
写,25
份,23
申请,57
改成,4
死缓,5
良好,142
半,10
刑满释放,3
出狱,10
研发,64
故事,101
写入,2
凤凰卫视,2
出版,10
冷暖,2
世纪,20
档案,25
人会,5
过得,15
自从,22
基本上,6
发明,22
检索系统,2
四项,9
网站,69
创建,130
方法,62
装置,12
物,55
联网,72
信息管理系统,2
人机,2
实时,33
动态,45
显示,46
触控,2
一种,94
监所,4
全景,5
仪,6
曾经,51
狱中,8
免于,3
或是,10
见,39
以下,38
几位,9
精英,6
基于,16
科技,108
深度,81
重新,37
走向,22
中国足协,8
专职,18
副,153
